"清单编号","角色","状态","原因分类","参数名称","所属节点","DAZ分组","类型","默认可见","内部ID","源文件","完整禁用原因或观察结果","别名目标","未解析依赖","输入样本","有效值样本","最大顶点位移_米","条目唯一ID"
"G8-0001","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","!Aging Body Controller","Genesis8Female","/Full Body/Real World/Aging Morphs","控制器","是","!Aging Body Controller","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Aging Morphs 8/!Aging Body Controller.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/Zev0/Growing Up/Neck Fine Wrinkles HD.dsf#Neck Fine Wrinkles HD?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Growing%20Up/Neck%20Fine%20Wrinkles%20HD.dsf#Neck%20Fine%20Wrinkles%20HD?value""}, {""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/Zev0/Growing%20Up/Neck%20Wrinkles%20HD.dsf#Aging%20Neck%20Detail%20HD?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/zev0/aging morphs 8/!aging body controller.dsf#!Aging Body Controller"
"G8-0002","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","01 EJ Midori Expression","Genesis8Female","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","控制器","是","01 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/01 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLExcitement_HD.dsf#eCTRLExcitement?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLExcitement_HD.dsf#eCTRLExcitement?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/01 ej midori expression.dsf#01 EJ Midori Expression"
"G8-0003","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","01 EJ Midori Expression","head","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","别名","是","01 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/alias_head_01 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLExcitement_HD.dsf#eCTRLExcitement?value","Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/EmmaAndJordi/EJ%20Midori%20Expressions/01%20EJ%20Midori%20Expression.dsf#01%20EJ%20Midori%20Expression?value","","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/alias_head_01 ej midori expression.dsf#01 EJ Midori Expression"
"G8-0004","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","05 EJ Midori Expression","Genesis8Female","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","控制器","是","05 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/05 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/05 ej midori expression.dsf#05 EJ Midori Expression"
"G8-0005","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","05 EJ Midori Expression","head","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","别名","是","05 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/alias_head_05 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/EmmaAndJordi/EJ%20Midori%20Expressions/05%20EJ%20Midori%20Expression.dsf#05%20EJ%20Midori%20Expression?value","","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/alias_head_05 ej midori expression.dsf#05 EJ Midori Expression"
"G8-0006","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","06 EJ Midori Expression","Genesis8Female","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","控制器","是","06 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/06 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLExcitement_HD.dsf#eCTRLExcitement?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLExcitement_HD.dsf#eCTRLExcitement?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/06 ej midori expression.dsf#06 EJ Midori Expression"
"G8-0007","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","06 EJ Midori Expression","head","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","别名","是","06 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/alias_head_06 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLExcitement_HD.dsf#eCTRLExcitement?value","Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/EmmaAndJordi/EJ%20Midori%20Expressions/06%20EJ%20Midori%20Expression.dsf#06%20EJ%20Midori%20Expression?value","","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/alias_head_06 ej midori expression.dsf#06 EJ Midori Expression"
"G8-0008","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","07 EJ Midori Expression","Genesis8Female","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","控制器","是","07 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/07 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/07 ej midori expression.dsf#07 EJ Midori Expression"
"G8-0009","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","07 EJ Midori Expression","head","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","别名","是","07 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/alias_head_07 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/EmmaAndJordi/EJ%20Midori%20Expressions/07%20EJ%20Midori%20Expression.dsf#07%20EJ%20Midori%20Expression?value","","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/alias_head_07 ej midori expression.dsf#07 EJ Midori Expression"
"G8-0010","Genesis 8 Female","禁止手动编辑","公式引用缺失、被覆盖或属性不支持","08 EJ Midori Expression","Genesis8Female","/Pose Controls/Head/Expressions/EmmaAndJordi/EJ Midori","控制器","是","08 EJ Midori Expression","H:/G3/data/DAZ 3D/Genesis 8/Female/Morphs/EmmaAndJordi/EJ Midori Expressions/08 EJ Midori Expression.dsf","公式引用缺失、被本代覆盖或不支持的属性：$missing_file/Genesis8Female:/data/DAZ 3D/Genesis 8/Female/Morphs/DAZ 3D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value","","[{""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLConcentrate_HD.dsf#eCTRLConcentrate?value""}, {""reason"": ""missing_file"", ""uri"": ""Genesis8Female:/data/DAZ%203D/Genesis%208/Female/Morphs/DAZ%203D/Expressions/eCTRLPleased_HD.dsf#eCTRLPleased?value""}]","","","","h:/g3/data/daz 3d/genesis 8/female/morphs/emmaandjordi/ej midori expressions/08 ej midori expression.dsf#08 EJ Midori Expression"
