模板,编号,名称,X,Y,左上,左下,左左,左右,右上,右下,右左,右右,结果,备注
Body,BT01,转到 Hands,57,60,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Body,B01,头部,240,60,头部屈伸值减小（抬头）,头部屈伸值增加（低头）,头部扭转值减小（向角色右转）,头部扭转值增加（向角色左转）,头部屈伸值减小（抬头）,头部屈伸值增加（低头）,头部侧摆值增加（向角色右侧倾）,头部侧摆值减小（向角色左侧倾）,一致,
Body,BT02,转到 Head,424,60,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Body,B02,头颈联动组,205,110,下颈部屈伸值减小（后伸）；上颈部屈伸值减小（后伸）；头部屈伸值减小（抬头）,下颈部屈伸值增加（前屈）；上颈部屈伸值增加（前屈）；头部屈伸值增加（低头）,下颈部扭转值减小（向角色右转）；上颈部扭转值减小（向角色右转）；头部扭转值减小（向角色右转）,下颈部扭转值增加（向角色左转）；上颈部扭转值增加（向角色左转）；头部扭转值增加（向角色左转）,下颈部屈伸值减小（后伸）；上颈部屈伸值减小（后伸）；头部屈伸值减小（抬头）,下颈部屈伸值增加（前屈）；上颈部屈伸值增加（前屈）；头部屈伸值增加（低头）,下颈部侧摆值增加（向角色右侧倾）；上颈部侧摆值增加（向角色右侧倾）；头部侧摆值增加（向角色右侧倾）,下颈部侧摆值减小（向角色左侧倾）；上颈部侧摆值减小（向角色左侧倾）；头部侧摆值减小（向角色左侧倾）,一致,
Body,B03,上颈部,240,110,上颈部屈伸值减小（后伸）,上颈部屈伸值增加（前屈）,上颈部扭转值减小（向角色右转）,上颈部扭转值增加（向角色左转）,上颈部屈伸值减小（后伸）,上颈部屈伸值增加（前屈）,上颈部侧摆值增加（向角色右侧倾）,上颈部侧摆值减小（向角色左侧倾）,一致,
Body,B04,下颈部,240,140,下颈部屈伸值减小（后伸）,下颈部屈伸值增加（前屈）,下颈部扭转值减小（向角色右转）,下颈部扭转值增加（向角色左转）,下颈部屈伸值减小（后伸）,下颈部屈伸值增加（前屈）,下颈部侧摆值增加（向角色右侧倾）,下颈部侧摆值减小（向角色左侧倾）,一致,
Body,B05,角色右锁骨,210,155,角色右锁骨屈伸值减小,角色右锁骨屈伸值增加,角色右锁骨前后摆值减小,角色右锁骨前后摆值增加,角色右锁骨扭转值减小,角色右锁骨扭转值增加,无姿态变化,无姿态变化,一致,
Body,B06,角色左锁骨,270,155,角色左锁骨屈伸值增加,角色左锁骨屈伸值减小,角色左锁骨前后摆值减小,角色左锁骨前后摆值增加,角色左锁骨扭转值减小,角色左锁骨扭转值增加,无姿态变化,无姿态变化,一致,
Body,B07,双肩联动组,240,165,角色右锁骨屈伸值减小；角色右上臂屈伸值减小；角色左锁骨屈伸值增加；角色左上臂屈伸值增加,角色右锁骨屈伸值增加；角色右上臂屈伸值增加；角色左锁骨屈伸值减小；角色左上臂屈伸值减小,角色右锁骨前后摆值增加；角色右上臂前后摆值增加；角色左锁骨前后摆值减小；角色左上臂前后摆值减小,角色右锁骨前后摆值减小；角色右上臂前后摆值减小；角色左锁骨前后摆值增加；角色左上臂前后摆值增加,角色右锁骨扭转值减小；角色右上臂扭转值减小〔代理待核〕；角色左锁骨扭转值减小；角色左上臂扭转值减小〔代理待核〕,角色右锁骨扭转值增加；角色右上臂扭转值增加〔代理待核〕；角色左锁骨扭转值增加；角色左上臂扭转值增加〔代理待核〕,角色右锁骨屈伸值减小；角色右上臂屈伸值增加；角色左锁骨屈伸值增加；角色左上臂屈伸值减小,角色右锁骨屈伸值增加；角色右上臂屈伸值减小；角色左锁骨屈伸值减小；角色左上臂屈伸值增加,有差异,操作上没有任何问题，但图标需要采用和B02 B12等相似的复合联动组图标（周围有一圈虚线）
Body,B08,角色右上臂,170,175,角色右上臂屈伸值减小,角色右上臂屈伸值增加,角色右上臂前后摆值减小,角色右上臂前后摆值增加,角色右上臂扭转值减小〔代理待核〕,角色右上臂扭转值增加〔代理待核〕,角色右上臂前后摆值减小,角色右上臂前后摆值增加,有差异,左键上下移动是bend，右键上下移动是twist
Body,B09,角色左上臂,310,180,角色左上臂屈伸值增加,角色左上臂屈伸值减小,角色左上臂前后摆值减小,角色左上臂前后摆值增加,角色左上臂扭转值减小〔代理待核〕,角色左上臂扭转值增加〔代理待核〕,角色左上臂前后摆值减小,角色左上臂前后摆值增加,有差异,左键上下移动是bend，右键上下移动是twist
Body,B10,上胸部,240,190,上胸部屈伸值减小（后伸）,上胸部屈伸值增加（前屈）,上胸部扭转值减小（向角色右转）,上胸部扭转值增加（向角色左转）,上胸部屈伸值减小（后伸）,上胸部屈伸值增加（前屈）,上胸部侧摆值增加（向角色右侧倾）,上胸部侧摆值减小（向角色左侧倾）,一致,
Body,B11,角色右手臂联动组,115,200,角色右上臂扭转值减小〔代理待核〕；角色右前臂扭转值减小〔代理待核〕,角色右上臂扭转值增加〔代理待核〕；角色右前臂扭转值增加〔代理待核〕,角色右上臂前后摆值减小；角色右前臂屈伸值减小,角色右上臂前后摆值增加；角色右前臂屈伸值增加,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Body,B12,角色左手臂联动组,365,200,角色左上臂扭转值减小〔代理待核〕；角色左前臂扭转值减小〔代理待核〕,角色左上臂扭转值增加〔代理待核〕；角色左前臂扭转值增加〔代理待核〕,角色左上臂前后摆值减小；角色左前臂屈伸值减小,角色左上臂前后摆值增加；角色左前臂屈伸值增加,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
